task,experiment,model,target_class,feature,view_type,value,rank
classification,detailed_2024_2025,LogisticRegression,MF,Squad_Paris S-G,coefficient,-0.8379241387404966,9
classification,detailed_2024_2025,LogisticRegression,MF,Squad_Lyon,coefficient,-0.7877934976313027,10
classification,detailed_2024_2025,LogisticRegression,MF,Squad_Montpellier,coefficient,-0.7720115103076325,11
classification,detailed_2024_2025,LogisticRegression,MF,Squad_Leverkusen,coefficient,0.7663220109234533,12
classification,detailed_2024_2025,LogisticRegression,MF,Squad_Crystal Palace,coefficient,0.7626190224315776,13
classification,detailed_2024_2025,LogisticRegression,MF,Succ,coefficient,-0.7571758736484776,14
classification,detailed_2024_2025,LogisticRegression,MF,Squad_Rennes,coefficient,0.7325712344174596,15
classification,detailed_2024_2025,LogisticRegression,MF,Squad_Freiburg,coefficient,-0.7281504607848842,16
classification,detailed_2024_2025,LogisticRegression,MF,Squad_Osasuna,coefficient,-0.725552566582312,17
classification,detailed_2024_2025,LogisticRegression,MF,Squad_Leicester City,coefficient,-0.7097881117291966,18
classification,detailed_2024_2025,LogisticRegression,MF,Squad_Napoli,coefficient,-0.6742936985952254,19
classification,detailed_2024_2025,LogisticRegression,MF,Nation_SVN,coefficient,0.6614858742876458,20
classification,detailed_2024_2025,RandomForest,__global__,PrgR,importance,0.034668746099817474,1
classification,detailed_2024_2025,RandomForest,__global__,TI,importance,0.031742965253516615,2
classification,detailed_2024_2025,RandomForest,__global__,Def Pen,importance,0.031323323013622124,3
classification,detailed_2024_2025,RandomForest,__global__,Sh/90,importance,0.031248876736680385,4
classification,detailed_2024_2025,RandomForest,__global__,Att 3rd_stats_possession,importance,0.028164809067506572,5
classification,detailed_2024_2025,RandomForest,__global__,SoT/90,importance,0.025632712557814526,6
classification,detailed_2024_2025,RandomForest,__global__,PrgC,importance,0.025177992977466014,7
classification,detailed_2024_2025,RandomForest,__global__,Att Pen,importance,0.021998748323091243,8
classification,detailed_2024_2025,RandomForest,__global__,PrgR_stats_possession,importance,0.020867211227356353,9
classification,detailed_2024_2025,RandomForest,__global__,npxG_stats_shooting,importance,0.020123096730569313,10
classification,detailed_2024_2025,RandomForest,__global__,SCA90,importance,0.019893696758442117,11
classification,detailed_2024_2025,RandomForest,__global__,Def 3rd_stats_possession,importance,0.019326690121370074,12
classification,detailed_2024_2025,RandomForest,__global__,Clr,importance,0.01808753526930644,13
classification,detailed_2024_2025,RandomForest,__global__,npxG,importance,0.017338195503874144,14
classification,detailed_2024_2025,RandomForest,__global__,PrgP,importance,0.016816488605574317,15
classification,detailed_2024_2025,RandomForest,__global__,Dis,importance,0.016258502739750196,16
classification,detailed_2024_2025,RandomForest,__global__,xG+xAG,importance,0.01574785572647689,17
classification,detailed_2024_2025,RandomForest,__global__,Mid 3rd_stats_possession,importance,0.01568925640671787,18
classification,detailed_2024_2025,RandomForest,__global__,Dead,importance,0.015582470102226444,19
classification,detailed_2024_2025,RandomForest,__global__,PrgP_stats_passing,importance,0.013746261967951359,20
classification,detailed_2024_2025,ExtraTrees,__global__,TI,importance,0.024684699001547884,1
classification,detailed_2024_2025,ExtraTrees,__global__,Def Pen,importance,0.022702442061765263,2
classification,detailed_2024_2025,ExtraTrees,__global__,Sh/90,importance,0.021447332397818687,3
classification,detailed_2024_2025,ExtraTrees,__global__,Def 3rd_stats_possession,importance,0.01730393425641208,4
classification,detailed_2024_2025,ExtraTrees,__global__,SoT/90,importance,0.017257972892683614,5
classification,detailed_2024_2025,ExtraTrees,__global__,Clr,importance,0.01598509069366645,6
classification,detailed_2024_2025,ExtraTrees,__global__,xG+xAG,importance,0.015942005632623667,7
classification,detailed_2024_2025,ExtraTrees,__global__,Mid 3rd,importance,0.014233743016570165,8
classification,detailed_2024_2025,ExtraTrees,__global__,SCA90,importance,0.013839756046326795,9
classification,detailed_2024_2025,ExtraTrees,__global__,Subs,importance,0.0132449223352852,10
classification,detailed_2024_2025,ExtraTrees,__global__,Dead,importance,0.01312033789233009,11
classification,detailed_2024_2025,ExtraTrees,__global__,PrgR_stats_possession,importance,0.012168121804718868,12
classification,detailed_2024_2025,ExtraTrees,__global__,Mn/MP,importance,0.01182458979207906,13
classification,detailed_2024_2025,ExtraTrees,__global__,Int_stats_misc,importance,0.011380771351396651,14
classification,detailed_2024_2025,ExtraTrees,__global__,PrgDist,importance,0.011348007090955778,15
classification,detailed_2024_2025,ExtraTrees,__global__,Compl,importance,0.011162169307244285,16
classification,detailed_2024_2025,ExtraTrees,__global__,Dis,importance,0.011012699469296436,17
classification,detailed_2024_2025,ExtraTrees,__global__,TklW,importance,0.010372468118854079,18
classification,detailed_2024_2025,ExtraTrees,__global__,Mis,importance,0.010364476099219708,19
classification,detailed_2024_2025,ExtraTrees,__global__,npxG+xAG,importance,0.009962943315982534,20
